T,A,P
326.6673,107.2426082,12.7277536
327.1667333,107.415774,13.02679057
327.6675833,107.2371049,12.79410068
328.1667667,107.3197588,12.79522669
328.66735,107.2322117,12.80207816
329.16655,107.2079416,12.92612128
329.6665333,107.1896823,12.86431593
330.16635,107.1027826,12.85473035
330.6663,107.063398,12.88966065
331.1665833,107.1608422,12.90425155
331.6663,107.2531503,13.27644581
332.1665333,107.2175779,12.95533453
332.6665,107.247799,12.94361814
333.1658167,107.1309693,12.96107512
333.6656833,107.1456499,12.88251233
334.1666,106.9518592,13.10633283
334.66635,107.0841447,13.12401676
335.16555,107.1814738,13.11181409
335.6655333,107.1467988,12.99380585
336.16575,106.7842295,13.10482331
336.66545,106.8549047,13.16517106
337.1652667,107.1253715,13.32704569
337.6664,106.8424158,13.23882741
338.1656167,106.7229733,13.06646529
338.6656333,106.893086,13.12241936
339.1658167,106.8675642,13.26852648
339.6654667,107.0024924,13.36736973
340.16475,107.0175309,13.19266524
340.6646167,106.9622781,13.21583319
341.16555,106.8956396,13.32193344
341.6655167,107.0149341,13.39633567
342.1645167,106.8173319,13.40529306
342.6642333,106.7246763,13.38987998
343.16435,106.7405353,13.48740382
343.66425,106.8731408,13.45197553
344.1718833,106.9616102,13.53687244
344.67205,106.6216057,13.30606292
345.1711,106.8111282,13.55392514
345.6709667,106.9440106,13.5293108
346.1721167,106.7635795,13.36003383
346.6721,106.8241017,13.67829542
347.1712667,106.6565427,13.35715205
347.6710167,106.5515104,13.47290833
348.1710833,106.767677,13.44570213
348.6709333,106.4836043,13.47983633
349.1705167,106.8059482,13.6141873
349.6704667,106.4161985,13.5451977
350.17135,106.7976163,13.53983003
350.67105,106.5492935,13.58119972
351.1710667,106.9015914,13.62702103
351.67085,106.6109734,13.72635125
352.1702333,106.7257912,13.46634808
352.6702,106.6289515,13.70355121
353.1713167,106.5613221,13.50820947
353.67105,106.4572284,13.56734646
354.1710667,106.4884153,13.78816619
354.6708833,106.5792627,13.49661942
355.1702,106.4369896,13.75581073
355.6700667,106.2044444,13.70767069
356.1714,106.2570738,13.62073911
356.6711,106.4276726,13.79075283
357.1700833,106.3994301,13.62640009
357.6708833,106.4066757,13.74242904
358.1700333,106.2323493,13.70847279
358.67,106.3276473,13.78484937
359.1711333,106.4058828,13.67931175
359.6708667,106.4144644,13.75722007
360.1708833,106.3826794,13.81308145
360.6708167,106.3372266,13.70307352
361.17,106.2258625,13.78726931
361.6698667,106.2488142,13.84831613
362.1701,106.3394934,13.82620462
362.6698667,106.4543071,13.92570632
363.1700833,106.0899059,13.91009066
363.67005,106.397551,14.05847119
364.1697333,106.1213938,13.88515687
364.6708833,106.0860607,13.83971004
365.17,106.0067721,13.8023861
365.6699,106.4226698,14.10789938
366.1700833,106.2339433,14.1965138
366.67005,106.0183477,13.66214055
367.1696667,106.2022242,14.13384379
367.6709167,106.0358007,13.94512185
368.1698833,106.2067465,13.97129715
368.6698333,106.083695,14.04629555
369.1700667,105.9580738,13.91830749
369.6699167,106.209382,14.12092324
370.1701333,106.0409642,14.08796677
370.6709333,106.0015803,14.19811346
371.1701167,106.0303055,14.01935745
371.6700833,106.0952226,14.07207939
372.1712,105.9873575,14.24220088
372.6709667,106.0768948,14.40040932
373.1710167,105.9401353,14.15187612
373.67095,105.9988247,14.31406936
374.1705667,105.9024477,14.4271416
374.6706667,105.9048186,14.02605728
375.17145,105.6837204,13.9982013
375.67125,106.131892,14.28170138
376.1712833,106.0555449,14.05504603
376.6710667,106.2217419,14.21136449
377.1723333,105.7462962,14.1413862
377.6723667,105.8599083,14.23439177
378.1715,105.8894651,14.34795109
378.6722667,105.8259456,14.28920183
379.1717,105.8016342,14.1670407
379.6719167,105.851933,14.40835764
380.17235,105.9159281,14.41212374
380.6723667,106.0301761,14.42075215
381.17215,105.669452,14.33263222
381.6731833,105.7785001,14.48996655
382.17335,105.6080732,14.38620215
382.67245,105.6245906,14.43817547
383.1734333,105.9507217,14.36786415
383.6732167,105.4783255,14.46974181
384.1733833,105.6403216,14.50527034
384.6745333,105.7612414,14.40745755
385.1745333,105.6063189,14.50298653
385.6744833,105.5722217,14.51922906
386.17555,105.5422153,14.46249513
386.67565,105.6212804,14.63956857
387.1766667,105.5502277,14.38092692
387.67745,105.663075,14.53253604
388.1771167,105.5526823,14.5535843
388.6777167,105.6080888,14.39374397
389.1713333,105.5063468,14.55296157
389.6714167,105.6413342,14.64292985
390.1724167,105.5969863,14.65074268
390.6729167,105.6195089,14.53079747
391.1739167,105.4306396,14.78208783
391.6743167,105.4397085,14.71620441
392.1756333,105.5480315,14.96619663
392.6756167,105.5903418,14.51241265
393.1757667,105.5989281,14.76854914
393.6760333,105.3398012,14.63041035
394.1764833,105.4110268,15.00881579
394.6764167,105.4166456,14.73239976
395.1766167,105.3854646,14.73971474
395.6756,105.5606241,14.70353868
396.17675,105.4232886,14.81799965
